pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max
331,-0.42277,110.420353,2,0.5,34.06
332,-0.42277,110.423722,2,0.5,3.79
333,-0.42277,110.427091,2,0.5,3.79
334,-0.42277,110.430459,1,0.5,3.79
335,-0.42277,110.433828,1,0.5,6.48
336,-0.42277,110.437197,1,1.0,13.21
337,-0.42277,110.440565,1,1.0,13.21
338,-0.42277,110.443934,1,1.0,13.21
339,-0.42277,110.447303,1,0.5,11.0
340,-0.42277,110.538257,1,0.5,33.68
341,-0.42277,110.541626,1,0.5,33.68
342,-0.42277,110.544995,1,0.5,33.68
343,-0.42277,110.548363,1,0.5,23.82
344,-0.426138,110.194652,1,0.5,3.14
345,-0.426138,110.19802,1,0.5,3.14
346,-0.426138,110.201389,1,0.5,3.14
347,-0.426138,110.423722,1,0.5,3.79
348,-0.426138,110.427091,1,0.5,3.79
349,-0.426138,110.430459,1,0.5,3.79
350,-0.426138,110.450671,1,0.5,7.57
351,-0.426138,110.45404,1,0.5,7.57
352,-0.426138,110.457409,1,0.5,7.57
353,-0.426138,110.460777,1,0.5,6.45
354,-0.429507,110.228338,1,0.5,12.15
355,-0.429507,110.231707,1,0.5,12.15
356,-0.429507,110.420353,1,0.5,5.16
357,-0.429507,110.423722,3,0.5,8.24
358,-0.429507,110.427091,3,0.5,8.24
359,-0.429507,110.430459,2,0.5,8.24
360,-0.429507,110.450671,1,0.5,7.57
361,-0.429507,110.45404,1,0.5,7.57
362,-0.429507,110.457409,1,0.5,7.57
363,-0.429507,110.460777,1,0.5,6.45
364,-0.429507,110.470884,1,0.5,6.29
365,-0.429507,110.474252,1,0.5,6.29
366,-0.429507,110.477621,1,0.5,6.29
367,-0.432876,110.157596,1,0.5,1.89
368,-0.432876,110.160965,1,0.5,1.89
369,-0.432876,110.349611,1,0.5,6.72
370,-0.432876,110.35298,1,0.5,6.72
371,-0.432876,110.356348,1,0.5,6.72
372,-0.432876,110.420353,1,0.5,5.16
373,-0.432876,110.423722,2,0.5,8.24
374,-0.432876,110.427091,2,0.5,8.24
375,-0.432876,110.430459,1,0.5,8.24
376,-0.432876,110.470884,1,0.5,6.29
377,-0.432876,110.474252,1,0.5,6.29
378,-0.432876,110.477621,1,0.5,6.29
379,-0.436244,110.154227,1,0.5,1.89
380,-0.436244,110.157596,1,0.5,1.89
381,-0.436244,110.160965,1,0.5,1.89
382,-0.436244,110.2755,2,0.75,29.0
383,-0.436244,110.278869,2,0.5,29.0
384,-0.436244,110.349611,2,0.5,6.72
385,-0.436244,110.35298,2,0.5,6.72
386,-0.436244,110.356348,2,0.5,6.72
387,-0.436244,110.420353,1,0.5,5.16
388,-0.436244,110.423722,2,0.5,8.24
389,-0.436244,110.427091,2,0.5,8.24
390,-0.436244,110.430459,1,0.5,8.24
391,-0.436244,110.443934,1,0.5,5.3
392,-0.436244,110.447303,1,0.5,5.3
393,-0.436244,110.450671,1,0.5,5.3
394,-0.436244,110.470884,1,0.5,6.29
395,-0.436244,110.474252,1,0.5,6.29
396,-0.436244,110.477621,1,0.5,6.29
397,-0.436244,110.484358,1,0.5,3.55
398,-0.436244,110.487727,1,0.5,3.55
399,-0.436244,110.491096,1,0.5,3.55
400,-0.436244,110.561838,1,0.5,3.98
401,-0.436244,110.565207,1,0.5,3.98
402,-0.436244,110.568575,1,0.5,3.98
403,-0.439613,110.272131,1,1.0,15.83
404,-0.439613,110.2755,1,1.0,15.83
405,-0.439613,110.278869,1,0.5,12.03
406,-0.439613,110.309187,1,0.5,3.63
407,-0.439613,110.315924,1,1.0,17.17
408,-0.439613,110.319293,1,1.0,17.17
409,-0.439613,110.322661,1,1.0,17.17
410,-0.439613,110.349611,2,0.5,6.72
411,-0.439613,110.35298,2,0.5,6.72
412,-0.439613,110.356348,2,0.5,6.72
413,-0.439613,110.40351,1,0.5,2.36
414,-0.439613,110.406879,1,0.5,2.36
415,-0.439613,110.410247,1,0.5,2.36
416,-0.439613,110.420353,1,0.5,5.16
417,-0.439613,110.423722,1,0.5,5.16
418,-0.439613,110.427091,1,0.5,5.16
419,-0.439613,110.443934,1,0.5,5.3
420,-0.439613,110.447303,1,0.5,5.3
421,-0.439613,110.450671,1,0.5,5.3
422,-0.439613,110.484358,1,0.5,3.55
423,-0.439613,110.487727,1,0.5,3.55
424,-0.439613,110.491096,1,0.5,3.55
425,-0.439613,110.561838,1,0.5,3.98
426,-0.439613,110.565207,1,0.5,3.98
427,-0.439613,110.568575,1,0.5,3.98
428,-0.442982,110.272131,1,1.0,15.83
429,-0.442982,110.2755,2,0.75,15.83
430,-0.442982,110.278869,3,0.5,35.8
431,-0.442982,110.282237,2,0.5,35.8
432,-0.442982,110.285606,2,0.5,35.8
433,-0.442982,110.288975,2,0.5,30.73
434,-0.442982,110.292343,1,1.0,45.69
435,-0.442982,110.305818,1,0.5,3.63
436,-0.442982,110.309187,1,0.5,3.63
437,-0.442982,110.315924,1,1.0,17.17
438,-0.442982,110.319293,1,1.0,17.17
439,-0.442982,110.322661,1,1.0,17.17
440,-0.442982,110.329399,1,0.5,3.47
441,-0.442982,110.332768,1,0.5,3.47
442,-0.442982,110.349611,1,0.5,6.15
443,-0.442982,110.35298,1,0.5,6.15
444,-0.442982,110.356348,2,0.5,96.64
445,-0.442982,110.359717,1,0.5,96.64
446,-0.442982,110.363086,1,0.5,96.64
447,-0.442982,110.40351,1,0.5,2.36
448,-0.442982,110.406879,1,0.5,2.36
449,-0.442982,110.410247,1,0.5,2.36
450,-0.442982,110.443934,1,0.5,5.3
451,-0.442982,110.447303,1,0.5,5.3
452,-0.442982,110.450671,1,0.5,5.3
453,-0.442982,110.484358,1,0.5,3.55
454,-0.442982,110.487727,1,0.5,3.55
455,-0.442982,110.491096,1,0.5,3.55
456,-0.442982,110.507939,1,0.5,8.02
457,-0.442982,110.511308,1,0.5,8.02
458,-0.442982,110.514676,1,0.5,8.02
459,-0.44635,110.2755,1,0.5,10.35
460,-0.44635,110.278869,2,0.5,35.8
461,-0.44635,110.282237,2,0.5,35.8
462,-0.44635,110.285606,2,0.5,35.8
463,-0.44635,110.288975,2,0.75,30.73
464,-0.44635,110.292343,2,0.75,30.73
465,-0.44635,110.295712,2,0.75,30.73
466,-0.44635,110.305818,1,0.5,3.63
467,-0.44635,110.309187,1,0.5,3.63
468,-0.44635,110.315924,1,1.0,17.17
469,-0.44635,110.319293,1,1.0,17.17
470,-0.44635,110.322661,1,1.0,17.17
471,-0.44635,110.329399,1,0.5,3.47
472,-0.44635,110.332768,1,0.5,3.47
473,-0.44635,110.356348,1,0.5,96.64
474,-0.44635,110.359717,1,0.5,96.64
475,-0.44635,110.363086,1,0.5,96.64
476,-0.44635,110.40351,1,0.5,2.36
477,-0.44635,110.406879,1,0.5,2.36
478,-0.44635,110.410247,1,0.5,2.36
479,-0.44635,110.484358,1,0.5,3.55
480,-0.44635,110.487727,1,0.5,3.55
481,-0.44635,110.491096,1,0.5,3.55
