Cluster,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max
148,60,0.2978258711406731,1.0,1.0,0.0,1,1,7.461,7.46,0.009513594198633745,7.45,7.48
149,39,0.1935868162414375,1.0,1.0,0.0,1,1,7.497692307692309,7.5,0.007056739392255409,7.49,7.51
150,34,0.16876799364638143,1.0,1.0,0.0,1,1,7.263529411764705,7.26,0.005970814340265454,7.25,7.27
151,95,0.4715576293060657,1.0,1.0,0.0,1,1,5.71821052631579,5.72,0.018506982429780827,5.69,5.76
152,84,0.4169562195969423,1.0,1.0,0.0,1,1,8.505238095238095,8.504999999999999,0.021083665262625978,8.47,8.54
153,45,0.22336940335550481,1.0,1.0,0.0,1,1,7.0473333333333334,7.05,0.009629500128629464,7.04,7.09
154,48,0.23826069691253848,1.0,1.0,0.0,1,1,7.119375000000001,7.12,0.011374897708214534,7.1,7.13
155,112,0.5559416261292565,1.0,1.0,0.0,1,1,4.165625,4.17,0.018733851905233155,4.13,4.19
156,45,0.22336940335550481,1.0,1.0,0.0,1,1,9.066666666666666,9.07,0.007071067811865448,9.06,9.08
157,51,0.25315199046957215,1.0,1.0,0.0,1,1,9.111960784313725,9.11,0.008722295074838989,9.1,9.13
158,111,0.5509778616102452,1.0,1.0,0.0,1,1,5.193963963963964,5.19,0.02601675261963775,5.16,5.24
159,53,0.26307951950759456,1.0,1.0,0.0,1,1,4.2152830188679244,4.22,0.005039754872284259,4.21,4.22
160,65,0.3226446937357292,1.0,1.0,0.0,1,1,5.291846153846154,5.29,0.01157749806903238,5.28,5.31
161,82,0.4070286905589198,1.0,1.0,0.0,1,1,5.785121951219512,5.78,0.007411019895993935,5.78,5.8
162,74,0.36731857440683013,1.0,1.0,0.0,1,1,5.83054054054054,5.83,0.013333641857469722,5.81,5.85
163,38,0.18862305172242627,1.0,1.0,0.0,1,1,6.097368421052631,6.1,0.011551110985836444,6.08,6.11
164,36,0.17869552268440386,1.0,1.0,0.0,1,1,6.571666666666667,6.57,0.008451542547285343,6.56,6.58
165,45,0.22336940335550481,1.0,1.0,0.0,1,1,6.151111111111112,6.15,0.003178208630818701,6.15,6.16
166,39,0.1935868162414375,1.0,1.0,0.0,1,1,6.138974358974359,6.14,0.0030735474060475747,6.13,6.14
167,69,0.34249975181177406,1.0,1.0,0.0,1,1,6.662753623188406,6.66,0.009375195365966512,6.65,6.68
168,47,0.23329693239352725,1.0,1.0,0.0,1,1,7.4065957446808515,7.41,0.005998766447354985,7.4,7.42
169,58,0.28789834210265064,1.0,1.0,0.0,1,1,7.371896551724138,7.37,0.0071222154427582115,7.36,7.39
170,29,0.14394917105132532,1.0,1.0,0.0,1,1,4.245172413793103,4.25,0.005085476277156196,4.24,4.25
171,41,0.2035143452794599,1.0,1.0,0.0,1,1,4.267317073170731,4.27,0.004485749794572978,4.26,4.27
172,38,0.18862305172242627,1.0,1.0,0.0,1,1,2.2476315789473684,2.25,0.004308514841827638,2.24,2.25
