pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max,Cluster
421,-0.439613,110.450671,1,0.5,5.3,160
422,-0.439613,110.484358,1,0.5,3.55,329
423,-0.439613,110.487727,1,0.5,3.55,329
424,-0.439613,110.491096,1,0.5,3.55,329
425,-0.439613,110.561838,1,0.5,3.98,303
426,-0.439613,110.565207,1,0.5,3.98,303
427,-0.439613,110.568575,1,0.5,3.98,303
428,-0.442982,110.272131,1,1.0,15.83,-1
429,-0.442982,110.2755,2,0.75,15.83,80
430,-0.442982,110.278869,3,0.5,35.8,-1
431,-0.442982,110.282237,2,0.5,35.8,21
432,-0.442982,110.285606,2,0.5,35.8,21
433,-0.442982,110.288975,2,0.5,30.73,-1
434,-0.442982,110.292343,1,1.0,45.69,10
435,-0.442982,110.305818,1,0.5,3.63,283
436,-0.442982,110.309187,1,0.5,3.63,283
437,-0.442982,110.315924,1,1.0,17.17,39
438,-0.442982,110.319293,1,1.0,17.17,39
439,-0.442982,110.322661,1,1.0,17.17,39
440,-0.442982,110.329399,1,0.5,3.47,313
441,-0.442982,110.332768,1,0.5,3.47,313
442,-0.442982,110.349611,1,0.5,6.15,165
443,-0.442982,110.35298,1,0.5,6.15,165
444,-0.442982,110.356348,2,0.5,96.64,-1
445,-0.442982,110.359717,1,0.5,96.64,-1
446,-0.442982,110.363086,1,0.5,96.64,-1
447,-0.442982,110.40351,1,0.5,2.36,229
448,-0.442982,110.406879,1,0.5,2.36,229
449,-0.442982,110.410247,1,0.5,2.36,229
450,-0.442982,110.443934,1,0.5,5.3,160
451,-0.442982,110.447303,1,0.5,5.3,160
452,-0.442982,110.450671,1,0.5,5.3,160
453,-0.442982,110.484358,1,0.5,3.55,329
454,-0.442982,110.487727,1,0.5,3.55,329
455,-0.442982,110.491096,1,0.5,3.55,329
456,-0.442982,110.507939,1,0.5,8.02,143
457,-0.442982,110.511308,1,0.5,8.02,143
458,-0.442982,110.514676,1,0.5,8.02,143
459,-0.44635,110.2755,1,0.5,10.35,101
460,-0.44635,110.278869,2,0.5,35.8,21
461,-0.44635,110.282237,2,0.5,35.8,21
462,-0.44635,110.285606,2,0.5,35.8,21
463,-0.44635,110.288975,2,0.75,30.73,-1
464,-0.44635,110.292343,2,0.75,30.73,-1
465,-0.44635,110.295712,2,0.75,30.73,-1
466,-0.44635,110.305818,1,0.5,3.63,283
467,-0.44635,110.309187,1,0.5,3.63,283
468,-0.44635,110.315924,1,1.0,17.17,39
469,-0.44635,110.319293,1,1.0,17.17,39
470,-0.44635,110.322661,1,1.0,17.17,39
471,-0.44635,110.329399,1,0.5,3.47,313
472,-0.44635,110.332768,1,0.5,3.47,313
